,Player,Tm,G,Pos,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,PTS_VAR,TRB_VAR,AST_VAR,STL_VAR,BLK_VAR,FG%_VAR,3P%_VAR,FT%_VAR,TOT_VAR
58,Davion Mitchell,SAC,72,PG,16.7,4.2,5.9,0.7,0.1,0.452,0.361,0.714,-0.71,-1.02,-0.92,-1.51,-1.06,0.07,-0.24,-1.57,7.1
59,Day'Ron Sharpe,BRK,61,C,22.3,20.9,4.6,1.3,2.4,0.571,0.267,0.61,0.06,1.75,0.25,0.0,0.51,0.0,-0.26,-1.64,4.47
60,De'Aaron Fox,SAC,74,PG,35.9,6.2,7.6,2.7,0.6,0.465,0.369,0.738,1.69,0.11,-0.26,2.26,0.46,0.44,-0.03,-1.26,6.51
61,DeMar DeRozan,CHI,79,SF,31.6,5.7,7.0,1.5,0.8,0.48,0.333,0.853,2.13,-0.63,2.2,0.2,0.2,0.69,-0.44,0.72,7.21
62,Dejounte Murray,ATL,78,SG,30.2,7.2,8.7,1.9,0.4,0.459,0.363,0.794,1.26,0.6,1.71,0.85,-0.72,0.14,-0.21,-0.02,5.51
63,Deni Avdija,WAS,75,SF,22.8,11.2,5.9,1.2,0.7,0.506,0.374,0.74,0.6,1.69,1.5,-0.4,0.0,1.37,0.33,-0.63,6.52
64,Dennis Schr̦der,TOT,80,PG,22.0,4.7,9.6,1.2,0.3,0.435,0.375,0.836,-0.04,-0.73,0.53,-0.57,-0.46,-0.41,0.14,0.02,2.9
65,Derrick Jones Jr.,DAL,76,SF,17.7,6.7,2.0,1.4,1.4,0.483,0.343,0.713,-0.29,-0.21,-0.99,0.0,1.43,0.77,-0.25,-0.95,4.89
66,Derrick White,BOS,73,SG,23.0,6.4,7.8,1.5,1.8,0.461,0.396,0.901,0.1,0.16,1.3,0.0,2.64,0.2,0.48,1.45,6.33
67,Devin Booker,PHO,68,PG,36.7,6.1,9.4,1.2,0.6,0.492,0.364,0.886,1.79,0.06,0.45,-0.57,0.46,1.21,-0.16,0.67,5.37
68,Devin Vassell,SAS,68,SG,27.9,5.5,5.8,1.5,0.5,0.472,0.372,0.801,0.89,-0.33,0.39,0.0,-0.48,0.51,-0.02,0.08,2.7
69,Dillon Brooks,HOU,72,SF,19.9,5.4,2.6,1.4,0.2,0.428,0.359,0.844,0.1,-0.76,-0.61,0.0,-1.02,-0.67,0.05,0.61,3.82
70,Domantas Sabonis,SAC,82,C,26.4,18.6,11.2,1.2,0.8,0.594,0.379,0.704,0.73,1.09,3.0,-0.19,-0.85,0.3,0.25,-0.47,6.88
